log_id,source_node,target_node,edge_type,label
invictus_enriched.csv:1541,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctes-bucket-qyxyekjbtk,GetBucketTagging,0
invictus_enriched.csv:1542,arn:aws:iam::123837392027:user/bert-jan,rtb-06711e8f3a624506d,DeleteRoute,0
invictus_enriched.csv:1543,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeNetworkInterfaces,0
invictus_enriched.csv:1544,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1545,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1546,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1547,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeVolumes,0
invictus_enriched.csv:1548,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1549,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeVolumes,0
invictus_enriched.csv:1550,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1551,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1552,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-23,GetParameter,0
invictus_enriched.csv:1553,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeTrails,0
invictus_enriched.csv:1554,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1555,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-12,GetParameter,0
invictus_enriched.csv:1556,arn:aws:iam::123837392027:user/bert-jan,aws_service,ListTags,0
invictus_enriched.csv:1557,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1558,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-8,GetParameter,0
invictus_enriched.csv:1559,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1560,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctes-trail-qyxyekjbtk,GetTrailStatus,0
invictus_enriched.csv:1561,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeTrails,0
invictus_enriched.csv:1562,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1563,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1564,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1565,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1566,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-26,GetParameter,0
invictus_enriched.csv:1567,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-41,GetParameter,0
invictus_enriched.csv:1568,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-10,GetParameter,0
invictus_enriched.csv:1569,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-27,GetParameter,0
invictus_enriched.csv:1570,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1571,arn:aws:iam::123837392027:user/bert-jan,aws_service,ListTags,0
invictus_enriched.csv:1572,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1573,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1574,arn:aws:iam::123837392027:user/bert-jan,vpc-0fa94f40db415f317,DeleteVpc,0
invictus_enriched.csv:1575,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1576,arn:aws:iam::123837392027:user/bert-jan,i-05c30218156bcc246,DescribeInstanceAttribute,0
invictus_enriched.csv:1577,arn:aws:iam::123837392027:user/bert-jan,subnet-01cccb722afa6dea3,DeleteSubnet,0
invictus_enriched.csv:1578,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1579,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-3,GetParameter,0
invictus_enriched.csv:1580,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1581,arn:aws:iam::123837392027:user/bert-jan,igw-040b2274c4a167722,DeleteInternetGateway,0
invictus_enriched.csv:1582,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1583,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1584,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
