log_id,source_node,target_node,edge_type,label
447,arn:aws:iam::123837392027:user/bert-jan,arn:aws:secretsmanager:us-east-1:123837392027:secret:stratus-red-team-retrieve-secret-7-nFvpuv,GetSecretValue,1
448,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeAccountAttributes,0
449,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
450,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
451,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
452,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
453,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
454,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
455,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-12,GetParameter,0
456,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-6,PutParameter,0
457,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-12,PutParameter,0
458,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
459,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
460,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-5,GetParameter,0
461,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
462,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
463,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
464,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
465,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-6,GetParameter,0
466,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
467,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-17,PutParameter,0
468,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-22,PutParameter,0
469,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-0,PutParameter,0
470,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-2,PutParameter,0
471,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-40,PutParameter,0
472,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-34,PutParameter,0
473,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
474,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
475,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-30,GetParameter,0
476,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
477,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-17,GetParameter,0
478,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-2,GetParameter,0
479,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-34,GetParameter,0
480,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
481,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
482,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
483,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-0,GetParameter,0
484,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-5,PutParameter,0
485,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-30,PutParameter,0
486,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
487,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-22,GetParameter,0
488,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
489,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-40,GetParameter,0
490,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
491,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
492,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
493,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
494,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
