log_id,username,timestamp,no_mfa,mfa_absent,principal_type_prior_risk,principal_type_idx,has_access_key,action_velocity,is_new_action,session_duration_normalized,events_per_minute_normalized,time_sin,time_cos,is_weekend,is_off_hours,action_risk_prior,event_name_idx,event_source_idx,is_write_action,read_only_absent,has_error,is_access_denied,is_iam_event,is_recon_action,is_defense_evasion,is_get_caller_identity,is_malicious_user_agent,is_public_ip,params_length_normalized,targets_sensitive_resource,is_non_default_region,is_create_key,is_secrets_or_kms,is_permission_modification,policy_statement_count_normalized,has_wildcard_action,has_wildcard_resource,privileged_action_reach,label
invictus_enriched.csv:2783,bert-jan,2023-07-10 12:28:38+00:00,0,1,0.8,2,1,1.0,0,0.5680555555555555,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,139,3,1,0,0,0,0,0,0,0,0,0,0.06266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2784,bert-jan,2023-07-10 12:28:38+00:00,0,0,0.8,2,1,1.0,0,0.5680555555555555,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.092,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2785,bert-jan,2023-07-10 12:28:38+00:00,0,1,0.8,2,1,1.0,0,0.5680555555555555,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,130,1,1,0,0,0,1,0,0,0,0,0,0.072,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2786,bert-jan,2023-07-10 12:28:38+00:00,0,1,0.8,2,1,1.0,0,0.5680555555555555,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,127,1,0,0,0,0,1,1,0,0,0,0,0.072,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2787,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,188,0,0,0,0,0,0,1,0,0,0,0,0.124,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2788,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,0,0,0,1,0,0,0,0,0.12266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2789,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,0,0,0,1,0,0,0,0,0.22266666666666668,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2790,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.19733333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2791,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.188,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2792,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,256,8,1,0,0,0,0,0,0,0,0,0,0.06933333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2793,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.188,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2794,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.18266666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2795,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.18266666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2796,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.19333333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2797,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,23,1,0,0,0,0,1,1,0,0,0,0,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2798,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,1,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,258,0,1,0,1,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2799,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,0,0,0,1,0,0,0,0,0.22266666666666668,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2800,bert-jan,2023-07-10 12:28:39+00:00,0,1,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,0,0,0,1,0,0,0,0,0.12266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2801,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,188,0,0,0,0,0,0,1,0,0,0,0,0.08533333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2802,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,258,0,1,0,0,0,0,0,0,0,0,0,0.2693333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2803,bert-jan,2023-07-10 12:28:39+00:00,0,0,0.8,2,1,1.0,0,0.5683333333333334,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.192,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2804,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,0.9997222222222222,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,127,1,0,0,0,0,1,1,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2805,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,138,3,1,0,0,0,0,0,0,0,0,0,0.05466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2806,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,1,0,0,1,0,0,0,0,0.12266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2807,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,145,4,1,0,0,0,0,0,0,0,0,0,0.18266666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2808,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,28,1,0,0,0,0,1,1,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2809,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,138,3,1,0,0,0,0,0,0,0,0,0,0.05466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2810,bert-jan,2023-07-10 12:28:40+00:00,0,1,0.8,2,1,1.0,0,0.5686111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,45,3,0,0,1,0,0,1,0,0,0,0,0.12266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2811,bert-jan,2023-07-10 12:28:41+00:00,0,1,0.8,2,1,0.9997222222222222,0,0.5688888888888889,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,130,1,1,0,0,0,1,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2812,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,0.9994444444444445,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.30133333333333334,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2813,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.30533333333333335,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2814,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.284,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2815,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.2946666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2816,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.284,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2817,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.12666666666666668,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2818,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.12266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2819,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.128,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2820,bert-jan,2023-07-10 12:28:43+00:00,0,0,0.8,2,1,1.0,0,0.5694444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.296,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2821,bert-jan,2023-07-10 12:28:44+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5697222222222222,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.30133333333333334,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2822,bert-jan,2023-07-10 12:28:44+00:00,0,0,0.8,2,1,1.0,0,0.5697222222222222,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.30666666666666664,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2823,bert-jan,2023-07-10 12:28:46+00:00,0,0,0.8,2,1,0.9994444444444445,0,0.5702777777777778,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2824,bert-jan,2023-07-10 12:28:47+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5705555555555556,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.17866666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2825,bert-jan,2023-07-10 12:28:47+00:00,0,0,0.8,2,1,1.0,0,0.5705555555555556,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.08,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2826,bert-jan,2023-07-10 12:28:47+00:00,0,0,0.8,2,1,1.0,0,0.5705555555555556,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2827,bert-jan,2023-07-10 12:28:48+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5708333333333333,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.17866666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2828,bert-jan,2023-07-10 12:28:48+00:00,0,0,0.8,2,1,1.0,0,0.5708333333333333,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.17866666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2829,bert-jan,2023-07-10 12:28:48+00:00,0,0,0.8,2,1,1.0,0,0.5708333333333333,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.17866666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2830,bert-jan,2023-07-10 12:28:48+00:00,0,0,0.8,2,1,1.0,0,0.5708333333333333,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.21466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2831,bert-jan,2023-07-10 12:28:48+00:00,0,0,0.8,2,1,1.0,0,0.5708333333333333,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.21466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2832,bert-jan,2023-07-10 12:28:51+00:00,0,0,0.8,2,1,0.9991666666666666,0,0.5716666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.10133333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2833,bert-jan,2023-07-10 12:28:51+00:00,0,0,0.8,2,1,1.0,0,0.5716666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.216,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2834,bert-jan,2023-07-10 12:28:51+00:00,0,0,0.8,2,1,1.0,0,0.5716666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2835,bert-jan,2023-07-10 12:28:52+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5719444444444445,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.21466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2836,bert-jan,2023-07-10 12:28:52+00:00,0,0,0.8,2,1,1.0,0,0.5719444444444445,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,249,0,0,0,0,0,0,1,0,0,0,0,0.21466666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2837,bert-jan,2023-07-10 12:28:54+00:00,0,0,0.8,2,1,0.9994444444444445,0,0.5725,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,188,0,0,0,0,0,0,1,0,0,0,0,0.124,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2838,bert-jan,2023-07-10 12:29:09+00:00,0,0,0.8,2,1,0.9958333333333333,0,0.5766666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,188,0,0,0,0,0,0,1,0,0,0,0,0.124,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2839,bert-jan,2023-07-10 12:29:09+00:00,0,1,0.8,2,1,1.0,0,0.5766666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,188,0,0,0,0,0,0,1,0,0,0,0,0.08533333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2840,bert-jan,2023-07-10 12:29:14+00:00,0,0,0.8,2,1,0.9986111111111111,0,0.5780555555555555,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,175,0,0,0,0,0,0,1,0,0,0,0,0.029333333333333333,0,0,0,0,0,0.0,0,0,0.0,0
